epoch,lr-AdamW/pg1,lr-AdamW/pg10,lr-AdamW/pg11,lr-AdamW/pg12,lr-AdamW/pg13,lr-AdamW/pg14,lr-AdamW/pg15,lr-AdamW/pg16,lr-AdamW/pg17,lr-AdamW/pg18,lr-AdamW/pg19,lr-AdamW/pg2,lr-AdamW/pg20,lr-AdamW/pg21,lr-AdamW/pg22,lr-AdamW/pg23,lr-AdamW/pg24,lr-AdamW/pg25,lr-AdamW/pg26,lr-AdamW/pg27,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,lr-AdamW/pg6,lr-AdamW/pg7,lr-AdamW/pg8,lr-AdamW/pg9,step,train_avg_pearson,train_l0_pearson,train_l10_pearson,train_l11_pearson,train_l12_pearson,train_l13_pearson,train_l14_pearson,train_l15_pearson,train_l16_pearson,train_l17_pearson,train_l18_pearson,train_l19_pearson,train_l1_pearson,train_l20_pearson,train_l21_pearson,train_l22_pearson,train_l23_pearson,train_l24_pearson,train_l2_pearson,train_l3_pearson,train_l4_pearson,train_l5_pearson,train_l6_pearson,train_l7_pearson,train_l8_pearson,train_l9_pearson,train_loss_confidence_epoch,train_loss_confidence_step,train_loss_score_epoch,train_loss_score_step,val_avg_pearson,val_l0_pearson,val_l10_pearson,val_l11_pearson,val_l12_pearson,val_l13_pearson,val_l14_pearson,val_l15_pearson,val_l16_pearson,val_l17_pearson,val_l18_pearson,val_l19_pearson,val_l1_pearson,val_l20_pearson,val_l21_pearson,val_l22_pearson,val_l23_pearson,val_l24_pearson,val_l2_pearson,val_l3_pearson,val_l4_pearson,val_l5_pearson,val_l6_pearson,val_l7_pearson,val_l8_pearson,val_l9_pearson,val_pearson
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3512.260498046875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2883.76123046875,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3510.236572265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3259.3583984375,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1e-06,6.30249409724609e-07,5.987369392383786e-07,5.688000922764597e-07,5.403600876626366e-07,5.133420832795048e-07,4.876749791155296e-07,4.6329123015975304e-07,4.401266686517653e-07,4.1812033521917707e-07,3.972143184582182e-07,9.499999999999999e-07,3.773536025353072e-07,3.5848592240854184e-07,3.405616262881148e-07,3.23533544973709e-07,3.0735686772502355e-07,2.7738957312183374e-07,1.5e-05,1.5e-05,9.024999999999999e-07,8.573749999999999e-07,8.145062499999998e-07,7.737809374999997e-07,7.350918906249998e-07,6.983372960937497e-07,6.634204312890622e-07,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
